page_name,field_name,current_value,semantic_definition_in_code,current_source,correct_source,source_type,match_status,action_needed,notes
Home,California / modeled initial vehicle stock,37428700,initial_data.total_cars; modeled initial fleet stock,configs/*.json via load_runtime_config() -> default_summary_frame(),https://afdc.energy.gov/vehicle-registration,config anchored to external source,corrected,keep,Baseline vehicle stock and BEV count are cross-checked to DOE AFDC 2024 light-duty registrations. The initial low-carbon electricity share is a modeled non-fossil baseline cross-checked to 2024 EIA California electricity data.
Home,California / initial BEV share,0.040982,initial_data.total_ev / initial_data.total_cars; BEV-only share in current code,configs/*.json via default_summary_frame(),https://afdc.energy.gov/vehicle-registration,config anchored to external source,corrected,keep,Relabeled explicitly as BEV share of modeled light-duty stock.
Home,California / initial low-carbon electricity share,0.656,initial_data.f_clean; starting non-fossil share in the e_clean/e_fossil blend,configs/*.json via default_summary_frame(),AFDC 2024 BEV + total light-duty registrations: https://afdc.energy.gov/vehicle-registration; modeled low-carbon share derived from 2024 EIA California electricity sources: https://www.eia.gov/states/CA/analysis and https://www.eia.gov/electricity/state/California/,config anchored to external source,corrected,keep,Relabeled from ambiguous clean fraction wording.
Scenario Explorer,California / CAV control,0.45,growth_rates.cav; target autonomous-vehicle fleet fraction reached by 2075 in _update_quantities(),configs/*.json via CONTROL_SPECS,Current TransportModel implementation,scenario assumption,relabeled,keep,No longer presented as a literal annual growth rate.
Scenario Explorer,California / STI control,0.5,growth_rates.sti; target STI coverage fraction reached by 2075 in _update_quantities(),configs/*.json via CONTROL_SPECS,Current TransportModel implementation,scenario assumption,relabeled,keep,No longer presented as a literal annual growth rate.
Scenario Explorer,California / aligned baseline uncertainty overlay,zero-width,results/*_quantiles.csv p05-p50-p95 shown only for exact baseline defaults,results/california__policy-baseline__model-fixed_table_quantiles.csv,Aligned results only; legacy notebook excluded from explorer overlays,aligned precomputed artifact,relabeled,keep with warning,The current aligned baseline file is traceable but degenerate: p05 == p50 == p95.
Utility Phase Analysis,California / subsystem breakdown labels,sensing / computing / communication,"Direct energy columns by subsystem family for ECAV, ICEAV, and STI",footprint_model.py columns surfaced by v3 utility page,Current deterministic TransportModel outputs,direct simulation output,corrected,keep,ICEAV labels are now exposed even though stored columns still use ICECAV.
State Results,California / region provenance note,Baseline vehicle stock and BEV count are cross-checked to DOE AFDC 2024 light-duty registrations. The initial low-carbon electricity share is a modeled non-fossil baseline cross-checked to 2024 EIA California electricity data.,Human-readable provenance note attached to region label,dashboard_core.REGION_NOTES,Same,provenance note,corrected,keep,Makes synthetic vs official baselines explicit.
Home,Ohio / modeled initial vehicle stock,10385000,initial_data.total_cars; modeled initial fleet stock,configs/*.json via load_runtime_config() -> default_summary_frame(),https://afdc.energy.gov/vehicle-registration,config anchored to external source,corrected,keep,Baseline vehicle stock and BEV count are cross-checked to DOE AFDC 2024 light-duty registrations. The initial low-carbon electricity share is a modeled non-fossil baseline cross-checked to 2024 EIA Ohio electricity data.
Home,Ohio / initial BEV share,0.006683,initial_data.total_ev / initial_data.total_cars; BEV-only share in current code,configs/*.json via default_summary_frame(),https://afdc.energy.gov/vehicle-registration,config anchored to external source,corrected,keep,Relabeled explicitly as BEV share of modeled light-duty stock.
Home,Ohio / initial low-carbon electricity share,0.247,initial_data.f_clean; starting non-fossil share in the e_clean/e_fossil blend,configs/*.json via default_summary_frame(),AFDC 2024 BEV + total light-duty registrations: https://afdc.energy.gov/vehicle-registration; modeled low-carbon share derived from 2024 EIA Ohio electricity sources: https://www.eia.gov/electricity/state/Ohio/,config anchored to external source,corrected,keep,Relabeled from ambiguous clean fraction wording.
Scenario Explorer,Ohio / CAV control,0.45,growth_rates.cav; target autonomous-vehicle fleet fraction reached by 2075 in _update_quantities(),configs/*.json via CONTROL_SPECS,Current TransportModel implementation,scenario assumption,relabeled,keep,No longer presented as a literal annual growth rate.
Scenario Explorer,Ohio / STI control,0.5,growth_rates.sti; target STI coverage fraction reached by 2075 in _update_quantities(),configs/*.json via CONTROL_SPECS,Current TransportModel implementation,scenario assumption,relabeled,keep,No longer presented as a literal annual growth rate.
Scenario Explorer,Ohio / aligned baseline uncertainty overlay,zero-width,results/*_quantiles.csv p05-p50-p95 shown only for exact baseline defaults,results/ohio__policy-baseline__model-fixed_table_quantiles.csv,Aligned results only; legacy notebook excluded from explorer overlays,aligned precomputed artifact,relabeled,keep with warning,The current aligned baseline file is traceable but degenerate: p05 == p50 == p95.
Utility Phase Analysis,Ohio / subsystem breakdown labels,sensing / computing / communication,"Direct energy columns by subsystem family for ECAV, ICEAV, and STI",footprint_model.py columns surfaced by v3 utility page,Current deterministic TransportModel outputs,direct simulation output,corrected,keep,ICEAV labels are now exposed even though stored columns still use ICECAV.
State Results,Ohio / region provenance note,Baseline vehicle stock and BEV count are cross-checked to DOE AFDC 2024 light-duty registrations. The initial low-carbon electricity share is a modeled non-fossil baseline cross-checked to 2024 EIA Ohio electricity data.,Human-readable provenance note attached to region label,dashboard_core.REGION_NOTES,Same,provenance note,corrected,keep,Makes synthetic vs official baselines explicit.
Home,U.S. Average (synthetic CA/OH midpoint) / modeled initial vehicle stock,23906850,initial_data.total_cars; modeled initial fleet stock,configs/*.json via load_runtime_config() -> default_summary_frame(),Synthetic arithmetic mean of corrected California and Ohio values,synthetic config baseline,relabeled synthetic,keep,This is not an official national total. It is a synthetic arithmetic midpoint between the California and Ohio baselines for scenario comparison only.
Home,U.S. Average (synthetic CA/OH midpoint) / initial BEV share,0.033532,initial_data.total_ev / initial_data.total_cars; BEV-only share in current code,configs/*.json via default_summary_frame(),Synthetic arithmetic mean of corrected California and Ohio values,synthetic config baseline,relabeled synthetic,keep,Relabeled explicitly as BEV share of modeled light-duty stock.
Home,U.S. Average (synthetic CA/OH midpoint) / initial low-carbon electricity share,0.4515,initial_data.f_clean; starting non-fossil share in the e_clean/e_fossil blend,configs/*.json via default_summary_frame(),Synthetic arithmetic midpoint of corrected California and Ohio baselines; not an official U.S. national statistic.,synthetic config baseline,relabeled synthetic,keep,Relabeled from ambiguous clean fraction wording.
Scenario Explorer,U.S. Average (synthetic CA/OH midpoint) / CAV control,0.24,growth_rates.cav; target autonomous-vehicle fleet fraction reached by 2075 in _update_quantities(),configs/*.json via CONTROL_SPECS,Current TransportModel implementation,scenario assumption,relabeled,keep,No longer presented as a literal annual growth rate.
Scenario Explorer,U.S. Average (synthetic CA/OH midpoint) / STI control,0.03,growth_rates.sti; target STI coverage fraction reached by 2075 in _update_quantities(),configs/*.json via CONTROL_SPECS,Current TransportModel implementation,scenario assumption,relabeled,keep,No longer presented as a literal annual growth rate.
Scenario Explorer,U.S. Average (synthetic CA/OH midpoint) / aligned baseline uncertainty overlay,zero-width,results/*_quantiles.csv p05-p50-p95 shown only for exact baseline defaults,results/us_average__policy-baseline__model-fixed_table_quantiles.csv,Aligned results only; legacy notebook excluded from explorer overlays,aligned precomputed artifact,relabeled,keep with warning,The current aligned baseline file is traceable but degenerate: p05 == p50 == p95.
Utility Phase Analysis,U.S. Average (synthetic CA/OH midpoint) / subsystem breakdown labels,sensing / computing / communication,"Direct energy columns by subsystem family for ECAV, ICEAV, and STI",footprint_model.py columns surfaced by v3 utility page,Current deterministic TransportModel outputs,direct simulation output,corrected,keep,ICEAV labels are now exposed even though stored columns still use ICECAV.
State Results,U.S. Average (synthetic CA/OH midpoint) / region provenance note,This is not an official national total. It is a synthetic arithmetic midpoint between the California and Ohio baselines for scenario comparison only.,Human-readable provenance note attached to region label,dashboard_core.REGION_NOTES,Same,provenance note,corrected,keep,Makes synthetic vs official baselines explicit.
Turning Points,Peak year,Derived from current applied scenario,argmax_t ATS emissions(t) via compute_turning_metrics(),Live deterministic page computation,Current deterministic TransportModel outputs,derived formula,correct,keep,"Derived, not measured."
Turning Points,Turning year,Derived from current applied scenario,First year after peak where ATS emissions <= 50% of peak,Live deterministic page computation,Current deterministic TransportModel outputs,derived formula,corrected,keep,Threshold formula is now shown explicitly.
Uncertainty Analysis,Source mode selector,Aligned results / legacy notebook,Explicit branch between aligned results and legacy notebook files,page 05 selectbox,Same,loader contract,corrected,keep,Prevents silent source mixing.
Uncertainty Analysis,ATS emissions p05-p50-p95,Displayed from selected quantile file,Pointwise emissions quantiles read from file-backed columns,results/*_quantiles.csv or results_notebook/*_quantiles.csv,"Same, with source mode shown explicitly",precomputed quantile artifact,corrected,keep,Zero-width aligned bands are now called out explicitly.
Uncertainty Analysis,ATS energy p05-p50-p95,Displayed from selected quantile file,Pointwise energy quantiles read from file-backed columns,results/*_quantiles.csv or results_notebook/*_quantiles.csv,"Same, with source mode shown explicitly",precomputed quantile artifact,corrected,keep,Added because the old page only emphasized emissions.
Framework Scope,Production / logistics / end-of-life rows,Conceptual only / not implemented,Static scope matrix; no numeric path exists for these modules,page 06 scope matrix,Current implementation boundary,boundary statement,corrected,keep,Prevents overclaiming full-LCA coverage.
