item_id,category,region,file_path,code_or_json_path,current_value,status,propagation_into_backend_outputs,paper_safety,recommended_next_action
US_AVG_ECAV_L3_SENS,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L3.sensing,1053.4093,UNRESOLVED — ~13x CA (78) / ~10x OH (106),"Propagates into ECAV Sensing Power → ATS Total Power → ATS Emissions → peak_year, turning_year, interp_boundary for us_average",UNSAFE,Trace source or rescale to CA/OH magnitude
US_AVG_ECAV_L3_COMM,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L3.communication,506.07725,UNRESOLVED — ~28x CA (18) / ~42x OH (12),Same as above,UNSAFE,Same
US_AVG_ECAV_L4_SENS,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L4.sensing,1624.7643,UNRESOLVED — ~9x CA (184) / ~7x OH (249),Same,UNSAFE,Same
US_AVG_ECAV_L4_COMM,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L4.communication,508.787375,UNRESOLVED — ~20x CA (26) / ~30x OH (17),Same,UNSAFE,Same
US_AVG_ECAV_L5_SENS,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L5.sensing,3223.0515,UNRESOLVED — ~10x CA (325) / ~7x OH (446),Same,UNSAFE,Same
US_AVG_ECAV_L5_COMM,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L5.communication,1012.045,UNRESOLVED — ~28x CA (36) / ~42x OH (24),Same,UNSAFE,Same
US_AVG_ECAV_L3_COMP,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L3.computing,3542.651725,IN-RANGE (0.71x CA / 1.02x OH),Normal,scenario-safe,Keep
US_AVG_ECAV_L4_COMP,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L4.computing,6071.00345,IN-RANGE,Normal,scenario-safe,Keep
US_AVG_ECAV_L5_COMP,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.L5.computing,12061.5069,IN-RANGE,Normal,scenario-safe,Keep
US_AVG_STI_BASIC_SENS,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Basic.sensing,5089.8776,UNRESOLVED — ~29x CA (176) / ~28x OH (179),Same propagation,UNSAFE,Same
US_AVG_STI_BASIC_COMM,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Basic.communication,2784.7,UNRESOLVED — ~3x CA (854) / ~5x OH (569),Same,UNSAFE,Same
US_AVG_STI_SEMI_SENS,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Semi.sensing,10538.2144,UNRESOLVED — ~10x CA (1054) / ~10x OH (1076),Same,UNSAFE,Same
US_AVG_STI_SEMI_COMM,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Semi.communication,5367.92,UNRESOLVED — ~5x CA (1103) / ~7x OH (735),Same,UNSAFE,Same
US_AVG_STI_HIGHLY_SENS,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Highly.sensing,20708.5088,UNRESOLVED — ~16x CA (1303) / ~15x OH (1417),Same,UNSAFE,Same
US_AVG_STI_HIGHLY_COMM,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Highly.communication,10442.38,UNRESOLVED — ~8x CA (1327) / ~12x OH (884),Same,UNSAFE,Same
US_AVG_STI_BASIC_COMP,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Basic.computing,24692.562,IN-RANGE (0.62x CA / 0.89x OH),Normal,scenario-safe,Keep
US_AVG_STI_SEMI_COMP,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Semi.computing,49653.18,IN-RANGE,Normal,scenario-safe,Keep
US_AVG_STI_HIGHLY_COMP,A_us_avg_anomaly,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.Highly.computing,98609.94,IN-RANGE,Normal,scenario-safe,Keep
L2_CA_ECAV_TABLES,B_deferred_L2,california,scenarios/california/scenario.json,consumption_rates.ecav_power.* (9 cells),frozen scalars,FROZEN IN MC,Deterministic component of all CAV power / emissions bands,safe-with-caveat (bands understate load-model uncertainty),Author distribution specs after correlation-structure decision
L2_OH_ECAV_TABLES,B_deferred_L2,ohio,scenarios/ohio/scenario.json,consumption_rates.ecav_power.* (9 cells),frozen scalars,FROZEN IN MC,Same,safe-with-caveat,Same
L2_US_ECAV_TABLES,B_deferred_L2,us_average,scenarios/us_average/scenario.json,consumption_rates.ecav_power.* (9 cells),frozen scalars,FROZEN IN MC,Same — but also corrupted by anomaly above,UNSAFE,Block until US-avg anomaly resolved
L2_CA_STI_TABLES,B_deferred_L2,california,scenarios/california/scenario.json,consumption_rates.sti_power.* (9 cells),frozen scalars,FROZEN IN MC,Same for STI Power / Emissions,safe-with-caveat,Same as L2_CA_ECAV
L2_OH_STI_TABLES,B_deferred_L2,ohio,scenarios/ohio/scenario.json,consumption_rates.sti_power.* (9 cells),frozen scalars,FROZEN IN MC,Same,safe-with-caveat,Same
L2_US_STI_TABLES,B_deferred_L2,us_average,scenarios/us_average/scenario.json,consumption_rates.sti_power.* (9 cells),frozen scalars,FROZEN IN MC,Same — corrupted by anomaly,UNSAFE,Block
L2_CAV_LEVELS,B_deferred_L2,ALL,scenarios/*/scenario.json,consumption_rates.cav_levels,"[0.5, 0.333, 0.167]",FROZEN IN MC — Dirichlet candidate,First-order effect on aggregate CAV power,safe-with-caveat,Extend sampler to handle list-valued Dirichlet specs then author
L2_STI_LEVELS,B_deferred_L2,ALL,scenarios/*/scenario.json,consumption_rates.sti_levels,"[0.5, 0.333, 0.167]",FROZEN IN MC — Dirichlet candidate,Same for STI,safe-with-caveat,Same
L2_DECAY_FACTOR,B_deferred_L2,ALL (hard-coded),footprint_model.py:L334,decay_factor = 0.7,HARD-CODED IN PYTHON (not in config),Affects initial-cohort age distribution → initial cohort efficiencies → year-0 power,safe-with-caveat (small effect vs per-level power),Migrate to model_variants or consumption_rates; then distribute
L2_ICECAV_FACTOR_MEAN,B_deferred_L2,ALL,scenarios/*/scenario.json,consumption_rates.icecav_power_factor,"mean 1.6 (triangular 1.3/1.6/2.0)",SAMPLED this round,Sampled correctly,safe,Keep; revisit bounds
L2_RETIRE_YEAR,B_deferred_L2,ALL,scenarios/*/scenario.json,growth_rates.retire_year,"mean 12 (triangular 8/12/18 integer)",SAMPLED this round,Sampled correctly,safe,Keep
SAT_CA_CLEAN_FRAC,C_saturation,california,scenarios/california/scenario.json,growth_rates.clean_energy (exponential applied to f_clean),"0.05 annual -> cap 1.0 at year 2033","VERIFIED SATURATES — band collapses to 0 width by 2039 in 200-run MC",Clean Energy Fraction band width = 0 from 2039 onward; p50/p05/p95 all equal 1.0,safe-with-caveat,"Add 'saturated' annotation in quantile CSV and dashboard callout; band collapse ≠ low uncertainty"
SAT_OH_CLEAN_FRAC,C_saturation,ohio,scenarios/ohio/scenario.json,growth_rates.clean_energy,"0.05 annual -> cap 1.0 at later year (slower; lower f_clean start 0.247)",LIKELY SATURATES MID-HORIZON,Same pattern,safe-with-caveat,Same
SAT_US_CLEAN_FRAC,C_saturation,us_average,scenarios/us_average/scenario.json,growth_rates.clean_energy,"0.05 annual -> cap 1.0 mid-horizon",Likely saturates,Same pattern,tainted-by-anomaly,Same + unblock US avg first
SAT_CA_EV_FRAC,C_saturation,california,scenarios/california/scenario.json,growth_rates.ev (exponential applied to ev_frac),"0.07 annual -> cap 1.0 at year 2072","VERIFIED SATURATES at end of horizon",EV Fraction band width collapses near horizon end,safe-with-caveat,Same
SAT_OH_EV_FRAC,C_saturation,ohio,scenarios/ohio/scenario.json,growth_rates.ev,"0.07 annual -> cap beyond horizon because ev_frac start only 0.00668",LIKELY DOES NOT SATURATE within 2024-2092,Peak emissions at horizon end (2076); turning year = NaN,safe-with-caveat,"Ohio turning_year = NaN because peak is too late in horizon; flag separately"
SAT_US_EV_FRAC,C_saturation,us_average,scenarios/us_average/scenario.json,growth_rates.ev,same 0.07,Likely saturates late-horizon,Same,tainted,Same
OH_TURNING_YEAR,D_horizon_edge,ohio,results/ohio_results.csv,derived peak_year/turning_year,peak=2076 turning=nan,"VERIFIED — peak at year 52 of 68; 50% decline never reached within horizon",Paper tables citing 'Ohio turning year' are wrong — should say 'not reached in horizon',safe-with-caveat,Document explicitly; consider longer horizon or alternative metric
