factor_id,parameter_name,layer,physical_meaning,distribution,current_parameterization_CA_OH_US,default_decision,rationale,output_affected,effect_on_median,effect_on_width,effect_on_turning_year,effect_on_interp_boundary,effect_on_long_horizon,duplicates
F01,initial_data.f_clean,L1,2024 low-carbon-electricity share of the regional grid,beta(mean; kappa),"CA mean=0.656 kappa=80; OH mean=0.247 kappa=80; US mean=0.4515 kappa=60","fixed_by_default","Evidence-anchored at EIA state-by-state reporting. Spread is dominated by a constant level offset that is swamped after ~2035 by trajectory uncertainty. Dropping variance here simplifies the reader's interpretation without hiding real risk.",Emissions; EV-grid blending,medium (<=5% of p50),low (<~8% of p50 by 2030),negligible,negligible,negligible,no
F02,initial_data.ev_share,L1,2024 BEV share of light-duty fleet,beta(mean; kappa),"CA mean=0.041 kappa=120; OH mean=0.00668 kappa=120; US mean=0.0335 kappa=100","fixed_by_default","Regionally well-measured. Fleet stock evolves so quickly under ev_growth that a 2024 Beta-perturbation is absorbed within 3-5 years.",ECAV count; EV grid blending,low (<=3% of p50),low (<~5% by 2030),negligible,negligible,negligible,"partially redundant with growth_rates.ev"
F03,emission_factors.e_clean,L1,CO2 intensity of low-carbon electricity,triangular,"(0.01; 0.03; 0.08) kg/kWh all regions","adjustable_default_width_only","Literature disagreement between operational-only and life-cycle-inclusive. High tail 0.08 reflects LCA-grade envelope; operational-only view sits at <=0.05. Keep adjustable so the reader can see both readings.",Emissions,medium,medium (band shift tracks f_clean),negligible,low,low,no
F04,emission_factors.e_fossil,L1,CO2 intensity of fossil electricity,triangular,"(0.35; 0.50; 0.65) kg/kWh","adjustable_default_width_only","Well-bounded physical range (natural-gas-combined-cycle to coal). Low and high ends correspond to named generation technologies.",Emissions,medium,medium,low,low,low,no
F05,emission_factors.e_gasoline,L1,CO2-equivalent intensity for ICECAV electronic-load fuel,triangular,"(1.45; 1.65; 1.85) kg/kWh","adjustable_default_width_only","Tight physical bound around EPA gasoline CO2-per-litre. Minor sensitivity to well-to-wheel vs tank-to-wheel convention.",ICECAV emissions,low,low,negligible,low,low,no
F06,consumption_rates.ecav_scale_factors.L3,L2,multiplicative scale on L3 ECAV per-level row,lognormal,"sigma=0.15 (all regions; region-identical)","fixed_by_default","Dossier S2-01: this per-level axis and the per-subsystem axis compound multiplicatively on every ECAV cell. The per-subsystem axis already captures between-column variation; keeping both is a dual-axis duplication inflating sigma to ~sqrt(sigma_level^2+sigma_sub^2) per cell.",ECAV power,low,high (duplicates F09-F11),negligible,medium,high,"yes -- duplicates F09-F11"
F07,consumption_rates.ecav_scale_factors.L4,L2,multiplicative scale on L4 ECAV per-level row,lognormal,sigma=0.20,"fixed_by_default","Same dual-axis duplication as F06.",ECAV power,low,high,negligible,medium,high,"yes -- duplicates F09-F11"
F08,consumption_rates.ecav_scale_factors.L5,L2,multiplicative scale on L5 ECAV per-level row,lognormal,sigma=0.25,"fixed_by_default","Same dual-axis duplication as F06.",ECAV power,low,high,negligible,medium,high,"yes -- duplicates F09-F11"
F09,consumption_rates.ecav_scale_factors.sensing,L2,multiplicative scale on ECAV sensing column,lognormal,sigma=0.30,"adjustable_default","Largest ECAV sensing spread (camera/LiDAR/radar mix). Evidence-based but wide.",ECAV power,low,medium,negligible,low,low,no
F10,consumption_rates.ecav_scale_factors.computing,L2,multiplicative scale on ECAV computing column,lognormal,sigma=0.20,"adjustable_default","Reflects GPU/ASIC efficiency variation across vendors; modest.",ECAV power,low,low,negligible,low,low,no
F11,consumption_rates.ecav_scale_factors.communication,L2,multiplicative scale on ECAV communication column,lognormal,sigma=0.35,"adjustable_default","Largest single lognormal sigma: 5G vehicle-comm power draws span wide in the measurement literature.",ECAV power,low,medium,negligible,low,low,no
F12,consumption_rates.sti_scale_factors.Basic,L2,multiplicative scale on Basic STI row,lognormal,sigma=0.20,"fixed_by_default","Dossier S2-02: same dual-axis compounding on STI.",STI power,low,high (duplicates F15-F17),negligible,medium,high,"yes -- duplicates F15-F17"
F13,consumption_rates.sti_scale_factors.Semi,L2,multiplicative scale on Semi STI row,lognormal,sigma=0.25,"fixed_by_default","Dual-axis duplication.",STI power,low,high,negligible,medium,high,"yes -- duplicates F15-F17"
F14,consumption_rates.sti_scale_factors.Highly,L2,multiplicative scale on Highly STI row,lognormal,sigma=0.30,"fixed_by_default","Dual-axis duplication.",STI power,low,high,negligible,medium,high,"yes -- duplicates F15-F17"
F15,consumption_rates.sti_scale_factors.sensing,L2,multiplicative scale on STI sensing column,lognormal,sigma=0.35,"adjustable_default","Large spread for roadside sensor suites; retained as single column axis.",STI power,low,medium,negligible,low,low,no
F16,consumption_rates.sti_scale_factors.computing,L2,multiplicative scale on STI computing column,lognormal,sigma=0.25,"adjustable_default","Edge-computing variance.",STI power,low,low,negligible,low,low,no
F17,consumption_rates.sti_scale_factors.communication,L2,multiplicative scale on STI communication column,lognormal,sigma=0.35,"adjustable_default","Road-side to OBU link variance.",STI power,low,medium,negligible,low,low,no
F18,consumption_rates.cav_levels,L2,Dirichlet on L3/L4/L5 autonomy-level mix,dirichlet,"alpha=[5.0; 3.33; 1.67] (all regions)","adjustable_default","Concentration alpha is moderately informative. Shape legitimate; widening or narrowing has real meaning.",ECAV mix,low,low-medium,negligible,low,low,no
F19,consumption_rates.sti_levels,L2,Dirichlet on Basic/Semi/Highly STI mix,dirichlet,"alpha=[5.0; 3.33; 1.67]","adjustable_default","Same as F18 on STI side.",STI mix,low,low-medium,negligible,low,low,no
F20,consumption_rates.icecav_power_factor,L2,ICE overhead multiplier on CAV electronics,triangular,"(1.3; 1.6; 2.0)","adjustable_default","Alternator-overhead range. Modestly affects early-horizon ICE emissions; becomes less important as fleet electrifies.",ICECAV emissions,medium,low,negligible,negligible,negligible,no
F21,consumption_rates.cohort_decay_factor,L2,age-weight base for pre-2024 cohorts,triangular,"(0.5; 0.7; 0.9) (CA/OH only; not present on US)","fixed_by_default","Pre-2024 cohort decays out by 2036 under retire_year logic. Its perturbation is visible mainly in the first 8-10 years and is dwarfed by L3 divergence later.",Early-horizon power,low,low,negligible,negligible,low,no
F22,growth_rates.retire_year,L2,integer vehicle service life,triangular(int),"(8; 12; 18) integer","adjustable_default","Evidence-anchored fleet-turnover parameter. Directly controls cohort rotation and therefore peak/turning years.",fleet turnover,low,low,medium (on turning year),low,low,no
F23,growth_rates.cav,L3,2075 CAV target fraction (linear ramp end-point),triangular,"CA/OH (0.25;0.45;0.70); US (0.12;0.24;0.45)","adjustable_default","Primary L3 pathway-divergence driver. 2075 target sets the slope of the ramp; small target changes produce large long-horizon divergences via compounding ECAV count * per-cav power.",CAV count,medium,very high,low,high,very high,no
F24,growth_rates.sti,L3,2075 STI target coverage,triangular,"CA/OH (0.25;0.50;0.75); US (0.01;0.03;0.08)","adjustable_default","Second L3 pathway-divergence driver. Same mechanism as F23 on STI side.",STI count,medium,high,low,medium,high,no
F25,growth_rates.ev,L3,annual BEV-share growth exponent,truncated_normal,"(0.07; sd=0.015; [0.02; 0.15])","adjustable_default_narrowed","Compounding exponential: a 0.015 sd on a 51-year horizon widens the 2075 BEV-share by a factor ~2.3. Dominant contributor to post-2035 band explosion.",BEV share,medium,very high,low,high,very high,"partial overlap with F02"
F26,growth_rates.clean_energy,L3,annual low-carbon-electricity growth exponent,truncated_normal,"(0.05; sd=0.012; [0.01; 0.10])","adjustable_default_narrowed","Compounding exponential drives long-horizon emissions divergence; primary interpretation-boundary driver.",Clean share,medium,very high,low,very high,very high,"partial overlap with F01"
F27,growth_rates.efficiency_doubling,L3,hardware efficiency doubling time (years),triangular,"CA/OH (1.5; 2.8; 5.0); US (2.0; 3.8; 6.5)","adjustable_default","Moore-law-style decay multiplier on ECAV computing. Triangular tails produce asymmetric band; mid-horizon effect.",ECAV computing,medium,medium,low,low,medium,no
F28,growth_rates.total_car_increase,L3,annual fleet-stock growth exponent,truncated_normal,"CA/OH (0.002; sd=0.001; [-0.005; 0.010]); US (0.004; sd=0.0015; [-0.003; 0.015])","adjustable_default","Well-bounded by demographic data. Small effect on bands but controls absolute fleet level.",Fleet count,medium,low,low,low,low,no
F29,missing_abs_power_cells,L2,18 absolute per-level-per-subsystem ECAV/STI power cells,none (deterministic),deterministic table values,"exploratory_only","Underconstrained L2 gap (dossier S2-05). Priors do not exist; all variance enters via scale factors. Must be disclosed to the reader but cannot be directly adjusted in this release.",ECAV/STI power,n/a,n/a,n/a,n/a,n/a,"all variance currently routed through F06-F17"
SHK01,shocks.grid_stall,SHOCK,discrete grid-decarbonisation stall,scenario,moderate registry,"never_in_MC","Structural shock: discrete labelled scenario. Must NEVER be folded into ordinary MC bands. Exposed only on the Structural Shocks panel.",Emissions,step shift,step shift,scenario-defined,scenario-defined,scenario-defined,no
SHK02,shocks.ev_slowdown,SHOCK,discrete BEV-adoption slowdown,scenario,moderate registry,"never_in_MC","Structural shock; separate panel.",EV count,step shift,step shift,scenario-defined,scenario-defined,scenario-defined,no
SHK03,shocks.hardware_supply_shock,SHOCK,CAV hardware supply disruption,scenario,moderate registry,"never_in_MC","Structural shock; separate panel.",CAV growth,step shift,step shift,scenario-defined,scenario-defined,scenario-defined,no
SHK04,shocks.policy_freeze,SHOCK,sustained policy regression,scenario,moderate registry,"never_in_MC","Structural shock; separate panel.",Policy variables,step shift,step shift,scenario-defined,scenario-defined,scenario-defined,no
SHK05,shocks.geopolitical_disruption,SHOCK,compound geopolitical disruption,scenario,moderate registry,"never_in_MC","Structural shock; supplementary-only.",Multi-variable,step shift,step shift,scenario-defined,scenario-defined,scenario-defined,no
