region,param_id,layer,year,metric,p05,p50,p95,width_over_median,interpretation_boundary_year,turning_year_p50,turning_year_spread,mc_runs,elapsed_sec
california,F01,L1,2030,ATS Emissions (kg CO2),5213362088.713666,5258452932.236259,5306956073.130521,0.017798768121150072,,2046.0,0.0,80,0.4
california,F01,L1,2050,ATS Emissions (kg CO2),3605888325.4879436,3605888325.4879436,3605888325.4879436,0.0,,2046.0,0.0,80,0.4
california,F01,L1,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,,2046.0,0.0,80,0.4
california,F02,L1,2030,ATS Emissions (kg CO2),4961294679.131602,5272827763.582068,5446072733.684815,0.09193891329078453,2062.0,2046.0,4.0,80,0.4
california,F02,L1,2050,ATS Emissions (kg CO2),2612969836.207726,3656226383.1281447,4236385988.0719814,0.44401412323799133,2062.0,2046.0,4.0,80,0.4
california,F02,L1,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,3608987192.869752,27.369415717094213,2062.0,2046.0,4.0,80,0.4
california,F03,L1,2030,ATS Emissions (kg CO2),5249364226.648155,5264834911.901218,5282398224.55562,0.00627446035065435,,2046.0,0.0,80,0.4
california,F03,L1,2050,ATS Emissions (kg CO2),3589631408.1395617,3619451245.3974886,3653304634.3390446,0.017591955764136923,,2046.0,0.0,80,0.4
california,F03,L1,2075,ATS Emissions (kg CO2),82397886.3969644,164603482.0119502,257928538.6665313,1.0663848062267807,,2046.0,0.0,80,0.4
california,F04,L1,2030,ATS Emissions (kg CO2),5247204437.436025,5258049446.100835,5266715057.889929,0.0037106194329101392,,2046.0,0.0,80,0.4
california,F04,L1,2050,ATS Emissions (kg CO2),3605888325.4879436,3605888325.4879436,3605888325.4879436,0.0,,2046.0,0.0,80,0.4
california,F04,L1,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,,2046.0,0.0,80,0.4
california,F05,L1,2030,ATS Emissions (kg CO2),4853819207.253873,5267371564.137545,5597817052.009495,0.14124650894595486,,2046.0,2.0,80,0.4
california,F05,L1,2050,ATS Emissions (kg CO2),3328215740.4120975,3612468380.9019117,3839598031.844679,0.1415603508493288,,2046.0,2.0,80,0.4
california,F05,L1,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,,2046.0,2.0,80,0.4
california,F06_F07_F08_ecav_per_level,L2,2030,ATS Emissions (kg CO2),4251175607.286979,5207148817.919779,6052030587.972634,0.3458428102704168,,2046.0,5.0,80,0.4
california,F06_F07_F08_ecav_per_level,L2,2050,ATS Emissions (kg CO2),2907353826.0930343,3559120535.701012,4122699515.319725,0.3414735963662196,,2046.0,5.0,80,0.4
california,F06_F07_F08_ecav_per_level,L2,2075,ATS Emissions (kg CO2),109734697.4182685,125853738.28820202,139904412.96185654,0.23972045609404247,,2046.0,5.0,80,0.4
california,F09,L2,2030,ATS Emissions (kg CO2),5178405761.54594,5255909609.364204,5335470694.670669,0.029883492068602753,,2046.0,4.0,80,0.4
california,F09,L2,2050,ATS Emissions (kg CO2),2830163032.014297,3587433440.287865,4364804593.446497,0.4277825880189867,,2046.0,4.0,80,0.4
california,F09,L2,2075,ATS Emissions (kg CO2),100332692.09786111,126574492.26335955,153512846.42685992,0.4201490630382979,,2046.0,4.0,80,0.4
california,F10,L2,2030,ATS Emissions (kg CO2),4071646176.5894456,5279789599.940101,6381689178.579399,0.4375255790526503,,2046.0,4.0,80,0.4
california,F10,L2,2050,ATS Emissions (kg CO2),3364250403.7403607,3610368280.0452023,3834842608.96533,0.13034465426310402,,2046.0,4.0,80,0.4
california,F10,L2,2075,ATS Emissions (kg CO2),127195483.7140906,127214355.56380925,127231567.82756138,0.00028364812533030907,,2046.0,4.0,80,0.4
california,F11,L2,2030,ATS Emissions (kg CO2),5243887162.709638,5257159905.060969,5271610573.233074,0.0052734577270034605,,2046.0,1.0,80,0.4
california,F11,L2,2050,ATS Emissions (kg CO2),3469965168.1589875,3599649761.920981,3740843569.642319,0.07525132148933715,,2046.0,1.0,80,0.4
california,F11,L2,2075,ATS Emissions (kg CO2),122503847.36648571,126997826.21058792,131890635.4981927,0.0739129827005212,,2046.0,1.0,80,0.4
california,F12_F13_F14_sti_per_level,L2,2030,ATS Emissions (kg CO2),5242045900.928549,5256421231.104435,5270082183.06276,0.005333720586985909,,2046.0,0.0,80,0.4
california,F12_F13_F14_sti_per_level,L2,2050,ATS Emissions (kg CO2),3598085995.7023654,3605168968.12943,3611858522.2000756,0.003820216644341142,,2046.0,0.0,80,0.4
california,F12_F13_F14_sti_per_level,L2,2075,ATS Emissions (kg CO2),118338226.42327654,126321748.14615248,134078152.23822819,0.12460186821307105,,2046.0,0.0,80,0.4
california,F15,L2,2030,ATS Emissions (kg CO2),5257294459.702338,5257775269.478584,5258298750.033435,0.00019101050912665672,,2046.0,0.0,80,0.4
california,F15,L2,2050,ATS Emissions (kg CO2),3605136553.281555,3605853820.854667,3606634744.3002744,0.0004154885619750642,,2046.0,0.0,80,0.4
california,F15,L2,2075,ATS Emissions (kg CO2),125747646.53461179,127146709.20967716,128669935.52826223,0.022983599118018075,,2046.0,0.0,80,0.4
california,F16,L2,2030,ATS Emissions (kg CO2),5238748129.1644335,5257754391.029459,5276146844.980081,0.007113058738433106,,2046.0,0.0,80,0.4
california,F16,L2,2050,ATS Emissions (kg CO2),3597400980.9605455,3605868718.8313637,3614062990.801358,0.004620803234958793,,2046.0,0.0,80,0.4
california,F16,L2,2075,ATS Emissions (kg CO2),118713213.38065164,127194374.31237265,135401635.84503263,0.13120409259136276,,2046.0,0.0,80,0.4
california,F17,L2,2030,ATS Emissions (kg CO2),5257018671.198989,5257762611.413962,5258572574.637981,0.00029554461732813215,,2046.0,0.0,80,0.4
california,F17,L2,2050,ATS Emissions (kg CO2),3604725134.5453696,3605834937.6710453,3607043233.310408,0.0006428743425886587,,2046.0,0.0,80,0.4
california,F17,L2,2075,ATS Emissions (kg CO2),124945155.77775005,127109876.71036679,129466711.72263657,0.03557202683147401,,2046.0,0.0,80,0.4
california,F18,L2,2030,ATS Emissions (kg CO2),3824608494.8362703,5181925971.86499,6689461638.573699,0.5528548959000971,,2046.0,7.0,80,0.4
california,F18,L2,2050,ATS Emissions (kg CO2),2627257696.3272004,3557919874.999386,4447940705.087662,0.5117268158718092,,2046.0,7.0,80,0.4
california,F18,L2,2075,ATS Emissions (kg CO2),102766080.87091191,126359304.10682243,147239687.54446906,0.351961471993861,,2046.0,7.0,80,0.4
california,F19,L2,2030,ATS Emissions (kg CO2),5239307257.488948,5256819180.33029,5276016326.645756,0.0069831333164671345,,2046.0,0.0,80,0.4
california,F19,L2,2050,ATS Emissions (kg CO2),3596933532.9222145,3605413578.33045,3614266722.0343413,0.004807545302515132,,2046.0,0.0,80,0.4
california,F19,L2,2075,ATS Emissions (kg CO2),117265075.65866579,126689906.26861602,135960026.489763,0.14756464332256253,,2046.0,0.0,80,0.4
california,F20,L2,2030,ATS Emissions (kg CO2),4660628140.676076,5360247529.555295,5997415698.182552,0.24938914670184661,,2046.0,4.0,80,0.4
california,F20,L2,2050,ATS Emissions (kg CO2),3195427062.3167863,3676306098.1065125,4114259676.060135,0.2499336532985093,,2046.0,4.0,80,0.4
california,F20,L2,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,,2046.0,4.0,80,0.4
california,F21,L2,2030,ATS Emissions (kg CO2),5257596827.219607,5257763165.30234,5257798420.51276,3.8342026221946957e-05,,2046.0,0.0,80,0.4
california,F21,L2,2050,ATS Emissions (kg CO2),3605887119.011255,3605888148.9797573,3605889918.558663,7.763822094415328e-07,,2046.0,0.0,80,0.4
california,F21,L2,2075,ATS Emissions (kg CO2),127213985.36578213,127214029.09151533,127214096.55506109,8.740331530592473e-07,,2046.0,0.0,80,0.4
california,F22,L2,2030,ATS Emissions (kg CO2),4231061518.7413673,5062806061.4412365,6271300724.965319,0.4029858504283993,,2047.0,3.0,80,0.4
california,F22,L2,2050,ATS Emissions (kg CO2),3503529438.8593154,3643544966.4121304,3886649091.396111,0.10515024682515747,,2047.0,3.0,80,0.4
california,F22,L2,2075,ATS Emissions (kg CO2),124329786.95762466,126719176.47906277,129115650.1133545,0.037767473627171116,,2047.0,3.0,80,0.4
california,F23,L3,2030,ATS Emissions (kg CO2),3826648029.9422774,5447830411.96893,6883505387.088176,0.5611146320615922,,2046.0,9.0,80,0.4
california,F23,L3,2050,ATS Emissions (kg CO2),2618623232.054147,3736982995.453141,4727371796.221925,0.5642917205493129,,2046.0,9.0,80,0.4
california,F23,L3,2075,ATS Emissions (kg CO2),102590308.20696858,130483694.60137592,155185377.83826655,0.40307771627692224,,2046.0,9.0,80,0.4
california,F24,L3,2030,ATS Emissions (kg CO2),5236139287.999587,5258310164.284318,5275945388.812625,0.00757013176655312,,2046.0,0.0,80,0.4
california,F24,L3,2050,ATS Emissions (kg CO2),3595174201.8753166,3606141190.3452973,3614847739.8782687,0.00545556509424089,,2046.0,0.0,80,0.4
california,F24,L3,2075,ATS Emissions (kg CO2),115053078.75645447,127500131.32085598,137321881.19285896,0.17465709411988545,,2046.0,0.0,80,0.4
california,F25,L3,2030,ATS Emissions (kg CO2),5225411398.570096,5254403657.739546,5291509618.309642,0.012579585438241987,2062.0,2046.0,2.0,80,0.4
california,F25,L3,2050,ATS Emissions (kg CO2),3052638834.8870835,3555838904.8076715,4017849339.688767,0.2714438225805648,2062.0,2046.0,2.0,80,0.4
california,F25,L3,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,3893086908.9009337,29.60265804201035,2062.0,2046.0,2.0,80,0.4
california,F26,L3,2030,ATS Emissions (kg CO2),5227853978.539821,5254642822.194958,5289467204.14216,0.01172548309888793,,2046.0,0.0,80,0.4
california,F26,L3,2050,ATS Emissions (kg CO2),3605888325.4879436,3605888325.4879436,3605888325.4879436,0.0,,2046.0,0.0,80,0.4
california,F26,L3,2075,ATS Emissions (kg CO2),127214012.04943141,127214012.04943141,127214012.04943141,0.0,,2046.0,0.0,80,0.4
california,F27,L3,2030,ATS Emissions (kg CO2),3840596638.040399,5678932479.279478,7006942222.5742235,0.5575599984832992,,2047.0,16.0,80,0.4
california,F27,L3,2050,ATS Emissions (kg CO2),2783298201.2955246,4107098440.466437,6992628639.300353,1.0248915381552874,,2047.0,16.0,80,0.4
california,F27,L3,2075,ATS Emissions (kg CO2),118336650.25853658,130441918.16951388,144524057.17646897,0.2007591369815716,,2047.0,16.0,80,0.4
california,F28,L3,2030,ATS Emissions (kg CO2),5179602700.168452,5265308211.744618,5327278623.508883,0.028046966559532125,,2046.0,1.0,80,0.4
california,F28,L3,2050,ATS Emissions (kg CO2),3489625759.7361097,3617212688.824315,3711610297.393399,0.06136894806963634,,2046.0,1.0,80,0.4
california,F28,L3,2075,ATS Emissions (kg CO2),121573481.2214809,127773233.48404849,132502437.37627047,0.08553400314592464,,2046.0,1.0,80,0.4
