param_id,layer,config_path,physical_meaning,distribution,baseline_hyperparameters,region_variation,evidence_class,primary_affects,keep_in_ordinary_mc,user_exposure,diagnosis_if_broad
f_clean_0,L1,initial_data.f_clean,2024 regional low-carbon electricity share,beta(mean; kappa),CA mean=0.656 kappa=80; OH mean=0.247 kappa=80,region-specific-mean,fixed_evidence,level,yes,preset_width_only,none
bev_share_0,L1,initial_data.ev_share,2024 battery-electric share of light-duty fleet,beta(mean; kappa),CA mean=0.041 kappa=120; OH mean=0.00668 kappa=120,region-specific-mean,fixed_evidence,level,yes,preset_width_only,none
e_clean,L1,emission_factors.e_clean,CO2 intensity of low-carbon generation,triangular(low; mode; high),(0.01; 0.03; 0.08) kg/kWh,region-identical,fixed_evidence,width,yes,preset_width_only,"high-tail (0.08) is set for life-cycle-inclusive low-carbon generation; reasonable to narrow when operational-only"
e_fossil,L1,emission_factors.e_fossil,CO2 intensity of fossil generation,triangular,(0.35; 0.50; 0.65),region-identical,fixed_evidence,width,yes,preset_width_only,none
e_gasoline,L1,emission_factors.e_gasoline,CO2-equivalent intensity for ICECAV electronic-load fuel,triangular,(1.45; 1.65; 1.85),region-identical,fixed_evidence,width,yes,preset_width_only,none
ecav_sf_L3,L2,consumption_rates.ecav_scale_factors.L3,multiplicative perturbation on L3 ECAV per-level row,lognormal(mu=1; sigma),sigma=0.15,region-identical,fixed_weak,width,preset-dependent,preset,"per-level axis duplicates the per-subsystem axis (S2-01); combined multiplicative sigma inflates the band; drop in LOW"
ecav_sf_L4,L2,consumption_rates.ecav_scale_factors.L4,multiplicative perturbation on L4 ECAV per-level row,lognormal(mu=1; sigma),sigma=0.20,region-identical,fixed_weak,width,preset-dependent,preset,"S2-01 duplicated axis"
ecav_sf_L5,L2,consumption_rates.ecav_scale_factors.L5,multiplicative perturbation on L5 ECAV per-level row,lognormal(mu=1; sigma),sigma=0.25,region-identical,fixed_weak,width,preset-dependent,preset,"S2-01 duplicated axis"
ecav_sf_sensing,L2,consumption_rates.ecav_scale_factors.sensing,multiplicative perturbation on ECAV sensing column,lognormal(mu=1; sigma),sigma=0.30,region-identical,fixed_weak,width,yes,preset_width_only,"kept as the single retained axis under LOW"
ecav_sf_computing,L2,consumption_rates.ecav_scale_factors.computing,multiplicative perturbation on ECAV computing column,lognormal(mu=1; sigma),sigma=0.20,region-identical,fixed_weak,width,yes,preset_width_only,none
ecav_sf_communication,L2,consumption_rates.ecav_scale_factors.communication,multiplicative perturbation on ECAV communication column,lognormal(mu=1; sigma),sigma=0.35,region-identical,fixed_weak,width,yes,preset_width_only,"largest lognormal sigma; empirical spread of 5G vehicle-comm power draws"
sti_sf_Basic,L2,consumption_rates.sti_scale_factors.Basic,multiplicative perturbation on Basic STI row,lognormal(mu=1; sigma),sigma=0.20,region-identical,fixed_weak,width,preset-dependent,preset,"S2-02 duplicated axis on STI table"
sti_sf_Semi,L2,consumption_rates.sti_scale_factors.Semi,multiplicative perturbation on Semi STI row,lognormal(mu=1; sigma),sigma=0.25,region-identical,fixed_weak,width,preset-dependent,preset,"S2-02 duplicated axis on STI table"
sti_sf_Highly,L2,consumption_rates.sti_scale_factors.Highly,multiplicative perturbation on Highly STI row,lognormal(mu=1; sigma),sigma=0.30,region-identical,fixed_weak,width,preset-dependent,preset,"S2-02 duplicated axis on STI table"
sti_sf_sensing,L2,consumption_rates.sti_scale_factors.sensing,multiplicative perturbation on STI sensing column,lognormal(mu=1; sigma),sigma=0.35,region-identical,fixed_weak,width,yes,preset_width_only,"kept as the single retained axis under LOW"
sti_sf_computing,L2,consumption_rates.sti_scale_factors.computing,multiplicative perturbation on STI computing column,lognormal(mu=1; sigma),sigma=0.25,region-identical,fixed_weak,width,yes,preset_width_only,none
sti_sf_communication,L2,consumption_rates.sti_scale_factors.communication,multiplicative perturbation on STI communication column,lognormal(mu=1; sigma),sigma=0.35,region-identical,fixed_weak,width,yes,preset_width_only,none
cav_levels,L2,consumption_rates.cav_levels,Dirichlet on (L3; L4; L5) autonomy-level mix,dirichlet(alpha),(5.0; 3.33; 1.67),region-identical,adjustable,width,yes,preset_width_only,"concentration too low widens composition draws; tighten alpha in LOW"
sti_levels,L2,consumption_rates.sti_levels,Dirichlet on (Basic; Semi; Highly) infrastructure mix,dirichlet(alpha),(5.0; 3.33; 1.67),region-identical,adjustable,width,yes,preset_width_only,"same as cav_levels"
icecav_power_factor,L2,consumption_rates.icecav_power_factor,ICE overhead multiplier on CAV electronics,triangular,(1.3; 1.6; 2.0),region-identical,fixed_weak,level,yes,preset_width_only,"spread reflects modest alternator-overhead uncertainty"
cohort_decay_factor,L2,consumption_rates.cohort_decay_factor,age-weight base for pre-2024 cohorts,triangular,(0.5; 0.7; 0.9),region-identical,adjustable,width,yes,preset_width_only,"weakly constrained; widens early-horizon band"
retire_year,L2,growth_rates.retire_year,integer vehicle service life (cohort turnover),triangular(int),(8; 12; 18),region-identical,fixed_evidence,turning_year,yes,preset_width_only,none
ev_growth,L3,growth_rates.ev,annual BEV-share growth exponent,truncated normal(mean=0.07; sd=0.015; clip [0.02; 0.15]),same,region-identical,adjustable,long_horizon,yes,preset_width_only,"Ohio prior is CA-clone per dossier S2-04; prior width copied without Ohio-specific evidence"
clean_energy_growth,L3,growth_rates.clean_energy,annual low-carbon-electricity growth exponent,truncated normal(mean=0.05; sd=0.012; clip [0.01; 0.10]),same,region-identical,adjustable,long_horizon+interp_boundary,yes,preset_width_only,"Ohio prior is CA-clone; justified region-specifically only for CA"
cav_target_2075,L3,growth_rates.cav,2075 CAV target fraction (linear ramp end-point),triangular,(0.25; 0.45; 0.70),region-identical,adjustable,long_horizon,yes,preset,"main L3 pathway-divergence driver; expose as adjustable assumption in all presets"
sti_target_2075,L3,growth_rates.sti,2075 STI target coverage (linear ramp end-point),triangular,(0.25; 0.50; 0.75),region-identical,adjustable,long_horizon,yes,preset,"main L3 pathway-divergence driver"
efficiency_doubling,L3,growth_rates.efficiency_doubling,hardware efficiency doubling time (years),triangular,(1.5; 2.8; 5.0),region-identical,fixed_weak,long_horizon,yes,preset_width_only,"mode is industry-consensus; wide tails reflect beyond-Moore scenarios"
total_car_increase,L3,growth_rates.total_car_increase,annual fleet-stock growth exponent,truncated normal(mean=0.002; sd=0.001; clip [-0.005; 0.010]),same,region-identical,fixed_evidence,level,yes,preset_width_only,none
shock_grid_stall,SHOCK,scenarios/shocks/grid_stall.json,discrete grid-decarbonisation stall (onset; duration; severity),scenario,moderate only on disk,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"structural scenario; NOT folded into ordinary MC"
shock_ev_slowdown,SHOCK,scenarios/shocks/ev_slowdown.json,discrete BEV-adoption slowdown,scenario,moderate only on disk,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"structural scenario"
shock_hardware_supply,SHOCK,scenarios/shocks/hardware_supply_shock.json,discrete CAV hardware supply disruption,scenario,moderate only on disk,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"structural scenario; severe tier requires S4-02 patch before use"
shock_policy_freeze,SHOCK,scenarios/shocks/policy_freeze.json,discrete sustained policy regression,scenario,moderate only on disk,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"structural scenario; label as sustained regression in captions"
shock_geopolitical,SHOCK,scenarios/shocks/geopolitical_disruption.json,compound geopolitical disruption (5-parameter),scenario,moderate only on disk; supplementary paper scope,region-dependent,fixed_scenario,long_horizon,no,shock_panel_only,"supplementary-only; never merged into baseline MC"
missing_abs_power,L2,consumption_rates.ecav_power.*; consumption_rates.sti_power.*,18 absolute per-level-per-subsystem power cells have NO direct distribution,none,deterministic,region-identical,underconstrained,width,no,disclosed_only,"S2-05: variance enters only via scale factors; disclose as a known L2 gap; not fixable in this pass"
