year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2024,800,290544.6362708261,867900.556162802,2042029.6438527384,982728.6620268892,1751485.0075819124,2.0180710740936156,2.352838270874079,0.33476719678046307
2025,800,86076084.58399786,148231911.72569382,212891477.660369,149739471.86134294,126815393.07637115,0.8555201886018013,1.4362054376950155,0.5806852490932143
2026,800,177923454.44975808,336695057.72926885,484040871.87466604,332721763.49517345,306117417.4249079,0.9091829844174668,1.4376239293178923,0.5284409449004254
2027,800,266220581.54753882,540108627.5717174,824749171.1316679,532323331.6822911,558528589.5841291,1.0341041802928168,1.5270061040122063,0.49290192371938957
2028,800,344496602.97044927,739299159.0531301,1192766891.7914062,738414038.2404469,848270288.820957,1.1473978814035084,1.6133751502153235,0.4659772688118151
2029,800,421149637.33532244,938730123.4967192,1562935705.2185152,945285120.5541506,1141786067.8831928,1.2163091812054576,1.6649467893889074,0.44863760818344967
2030,800,493303338.47899544,1098030316.336333,1975643366.6065178,1142598632.8267183,1482340028.1275225,1.349999181328135,1.799261220034809,0.44926203870667425
2031,800,559279674.6593903,1263887184.3923652,2370179163.0997744,1334909333.911406,1810899488.440384,1.4328015275437767,1.8753091196500085,0.44250759210623164
2032,800,589505511.7487886,1414173045.7877827,2728646706.1455283,1514519957.0732093,2139141194.3967397,1.5126445810633482,1.9294998686850955,0.41685528762174734
2033,800,635920306.3502275,1548005445.249085,3138121303.6779313,1685565341.1283185,2502200997.327704,1.6164032271379267,2.0272030135998556,0.41079978646192905
2034,800,693413136.1352841,1680744501.812375,3446565078.4382505,1838870630.6761684,2753151942.3029666,1.6380550043948956,2.050618089020527,0.4125630846256317
2035,800,694500899.4611393,1807495900.5475135,3715125920.692063,1967756790.225672,3020625021.2309237,1.6711656277150824,2.0553993619386377,0.38423373422355545
2036,800,727072747.415736,1875364686.3688173,3886989606.7037745,2075136530.7106829,3159916859.2880383,1.684961267670258,2.072657992846167,0.3876967251759089
2037,800,695535328.4652642,1911395703.8004112,3979224039.0039887,2139383050.990038,3283688710.5387244,1.7179533803543636,2.0818420963760316,0.36388871602166806
2038,800,687344698.5339576,1925030212.9921908,4053868083.991061,2167721630.208931,3366523385.4571037,1.748815869349039,2.1058724463809266,0.3570565770318878
2039,800,689302450.0809128,1877929941.8018105,4224897594.5955677,2160199545.0491924,3535595144.514655,1.882708755962627,2.249763157054688,0.36705440109206117
2040,800,680189104.1103569,1822211326.7440143,4253211592.0815845,2135348148.6949608,3573022487.9712276,1.9608167480528282,2.3340934883120057,0.3732767402591777
2041,800,658240227.6748974,1757337603.4487948,4302124457.702728,2092856458.6207044,3643884230.027831,2.0735254414841333,2.4480921874429593,0.37456674595882633
2042,800,656989354.436649,1688367584.7999954,4175777639.5571103,2036992173.5927289,3518788285.1204615,2.0841363674589255,2.4732633326715843,0.38912696521265905
2043,800,631558588.6144617,1636577745.4767594,4124894994.8848166,1976982092.6947558,3493336406.270355,2.1345374003315034,2.5204393780163334,0.3859019776848299
2044,800,634205691.8023694,1589580079.0580988,3995799125.5907397,1922291145.6792328,3361593433.78837,2.1147682196547612,2.513745094212831,0.39897687455806957
2045,800,627816483.00791,1549558396.0475535,3892953819.999584,1870663440.533846,3265137336.9916744,2.107140553928161,2.512298878137998,0.4051583242098372
2046,800,624029169.5782431,1505509384.8281386,3817853664.4928436,1822721727.1316376,3193824494.9146004,2.12142450063783,2.5359215312554633,0.4144970306176332
2047,800,633060600.2600012,1492051588.7021215,3674243508.295229,1781927925.8951638,3041182908.035228,2.038255869343389,2.462544550146093,0.4242886808027036
2048,800,645070569.8934016,1472089184.0795274,3601765520.622578,1751318909.6058905,2956694950.7291765,2.0085025980120546,2.446703338068951,0.43820074005689635
2049,800,652209027.4709495,1444886521.723947,3514669289.8989935,1724312787.6983373,2862460262.428044,1.9810969369502718,2.4324881138108427,0.45139117686057106
2050,800,661567454.0449917,1445670761.3793807,3470419574.6986456,1706740230.5691311,2808852120.653654,1.942940395345341,2.400560118811118,0.4576197234657772
2051,800,676542537.0122048,1447365267.3738184,3365318493.8980393,1693488022.1394775,2688775956.8858347,1.857703799790983,2.325134207486037,0.467430407695054
2052,800,682166543.7311845,1448091382.5586936,3305458693.215985,1687272453.892008,2623292149.4848003,1.8115515229775037,2.2826312848954537,0.47107976191795004
2053,800,694803990.1042128,1439758250.3230057,3245878391.6294656,1684047531.984882,2551074401.525253,1.7718769112473753,2.254460699149501,0.4825837879021255
2054,800,708096734.7110524,1454790565.9205246,3196928058.363336,1690660962.360005,2488831323.6522837,1.710783243963,2.197517727467848,0.4867344835048482
2055,800,723504688.9791678,1450043115.56254,3130603216.998318,1696323552.5431652,2407098528.0191503,1.6600185899198752,2.1589725046098436,0.4989539146899685
2056,800,735570770.0075878,1468153095.3836453,3126640397.4276214,1708637664.367829,2391069627.4200335,1.628624177504608,2.1296419339773243,0.5010177564727163
2057,800,760153622.3140051,1474158451.3103209,3105520231.0981803,1723651725.2442517,2345366608.784175,1.5909867807625915,2.1066393699658317,0.5156525892032399
2058,800,779953364.212875,1487899202.4449167,3057641025.76408,1744661528.4020789,2277687661.551205,1.5308077709891286,2.055005487428021,0.5241977164388927
2059,800,785462510.200487,1529087446.870335,3105555376.3033805,1765217172.6547425,2320092866.1028934,1.5173055477314599,2.030986117020113,0.5136805692886532
2060,800,815140837.8908988,1546048708.8894477,3094204106.369425,1784249249.9153364,2279063268.478526,1.474121258518184,2.001362627566917,0.5272413690487332
2061,800,841212366.4049041,1579164027.8841605,3117918697.9466987,1814447410.6479812,2276706331.541795,1.441716181055767,1.9744109179869271,0.5326947369311601
2062,800,856925338.6422626,1621862758.072209,3120443467.4553986,1841358756.6526575,2263518128.813136,1.3956286483226341,1.9239873731143837,0.5283587247917498
2063,800,881437558.6291044,1649259067.8220282,3163222786.641285,1870726090.590651,2281785228.0121803,1.3835214082075358,1.9179659814261691,0.534444573218633
2064,800,890912692.1096385,1694093895.6823096,3201161786.975348,1899404391.139727,2310249094.8657093,1.3637078208910247,1.8896011579606424,0.5258933370696176
2065,800,927877327.6070809,1731446471.0239952,3226802958.32297,1932744711.0693688,2298925630.715889,1.3277486016395765,1.8636458084751564,0.53589720683558
2066,800,955558771.4905016,1758986221.4169683,3273952556.255173,1960477114.5294287,2318393784.7646713,1.3180283941605107,1.8612724286252846,0.5432440344647738
2067,800,960509545.1777833,1808558019.7507243,3332549366.827677,1996952467.2341168,2372039821.6498938,1.3115641277446188,1.8426554915208118,0.531091363776193
2068,800,990833028.2027161,1851123003.8431091,3384525475.2643824,2033481064.1891198,2393692447.0616665,1.2931028581526625,1.8283633600996705,0.5352605019470081
2069,800,1007533423.2657136,1887018014.7930446,3408365173.6414795,2070385452.5445592,2400831750.375766,1.2722887283294286,1.8062176126152596,0.5339288842858307
2070,800,1046209878.5360477,1931679403.375843,3454931742.997236,2105078938.601996,2408721864.4611883,1.2469573679005201,1.788563742492323,0.5416063745918032
2071,800,1068359628.8266566,1950283822.0765772,3549106959.0877123,2141325680.2098627,2480747330.261056,1.2719929797805862,1.8197899807776583,0.5477970009970722
2072,800,1077949267.0613906,2003695556.9403944,3678316515.2993503,2180508261.6562314,2600367248.23796,1.2977856038213071,1.835766168447302,0.5379805646259949
2073,800,1100753991.7951238,2056110150.816328,3772336326.817974,2220041538.7377357,2671582335.02285,1.299338138067245,1.8346956389083826,0.5353575008411375
2074,800,1118747487.163108,2097758366.7556968,3798153376.3346496,2254527238.658343,2679405889.171541,1.2772709820318322,1.8105771553702397,0.5333061733384075
2075,800,1128984550.0959747,2114509980.5967145,3830553656.004426,2288760149.0683837,2701569105.908451,1.2776336506797044,1.8115561955983033,0.5339225449185988
2076,800,1144525745.7935655,2169437115.8658285,3855703444.035193,2323395246.962154,2711177698.2416277,1.2497148123879078,1.7772828794331614,0.5275680670452538
2077,800,1170570926.3641584,2184466136.436679,3933161389.4214478,2352609856.007944,2762590463.057289,1.2646524553425451,1.800513784039361,0.5358613286968158
2078,800,1184046047.8617446,2214960021.7469788,3886139357.9410443,2375818627.8708706,2702093310.0793,1.219928704603937,1.7544963881000328,0.534567683496096
2079,800,1195135746.190674,2238924890.9891033,4056416842.4180937,2400860908.5581694,2861281096.22742,1.2779710064161083,1.811769952062155,0.533798945646047
2080,800,1191307119.2255015,2268683838.1313734,4051089301.333793,2418898241.8563886,2859782182.1082916,1.2605468131089534,1.785656173524169,0.5251093604152154
2081,800,1199615163.918111,2289593768.0908694,4106378859.8675904,2431518583.3990216,2906763695.949479,1.2695543359961292,1.7934966967051145,0.5239423607089853
2082,800,1214271404.841632,2308346606.7449102,4094661275.370993,2439548514.510346,2880389870.5293612,1.2478151513784628,1.7738502802856955,0.5260351289072326
2083,800,1199911814.3653727,2294658947.624729,4177495847.3317194,2442003970.6564093,2977584032.9663467,1.2976150708795022,1.8205301714470343,0.5229151005675321
2084,800,1213716981.870545,2302149727.350136,4153498073.3487444,2444764084.430956,2939781091.4781995,1.2769721519642436,1.8041824230648902,0.5272102711006467
2085,800,1208289377.8625762,2268044761.458313,4089198365.163513,2447262479.2408586,2880908987.3009367,1.2702169887725507,1.8029619320803132,0.5327449433077623
2086,800,1192723157.1941013,2255325883.8894744,4206480776.313926,2443544450.5778413,3013757619.119825,1.3362847651632408,1.8651321329490276,0.5288473677857867
2087,800,1179714800.2656944,2200370104.8517094,4085538087.6352634,2435745273.2406235,2905823287.369569,1.3206066020267997,1.8567504069551073,0.5361438049283075
2088,800,1188358077.1215105,2190371100.6833944,4020590886.1787543,2429809824.112176,2832232809.057244,1.2930378821075519,1.8355752068333684,0.5425373247258163
2089,800,1177484156.3237536,2177845319.1140924,4043713526.1787972,2419021438.4573073,2866229369.8550434,1.3160849141577111,1.8567496463999134,0.5406647322422019
2090,800,1164586689.6241255,2188258528.225142,4031119586.6207757,2409868248.020678,2866532896.99665,1.3099608021734273,1.842158746156171,0.5321979439827438
2091,800,1154333719.1050723,2175395182.906336,4010631809.545206,2399273405.1422606,2856298090.440134,1.3130019377095934,1.8436336721988082,0.5306317344892151
2092,800,1135240252.7867103,2161216184.4463806,4002867505.354198,2386747778.4883747,2867627252.5674877,1.3268581242380721,1.8521365581849818,0.5252784339469097
